 ,Abs_frame,X_(px),Y_(px),Channel,Slice,Frame,xMin,yMin,xMax,yMax,NArea,IntegrIntCh1,IntegrIntCh2,ColocCh1,ColocCh2,ColocIndCh1,ColocIndCh2,Index
124,6,978.40000,646.26667,2,3,1,972,638,984,655,123,0.00000,1890.00000,0,1,0,124,124
125,6,1014.00000,674.66667,2,3,1,1006,669,1022,681,114,0.00000,75.00000,0,1,0,125,125
126,6,1157.00000,381.00000,2,3,1,1150,374,1164,387,117,0.00000,1098.00000,0,1,0,126,126
127,6,1182.00000,293.00000,2,3,1,1175,286,1189,300,129,0.00000,549.00000,0,1,0,127,127
128,6,1202.00000,424.00000,2,3,1,1195,417,1209,431,129,0.00000,122.00000,0,1,0,128,128
129,6,1211.00000,391.00000,2,3,1,1204,384,1218,398,129,0.00000,7503.00000,0,1,0,129,129
130,7,267.00000,315.00000,1,4,1,256,304,278,326,289,645.00000,0.00000,1,0,130,0,130
131,7,297.00000,217.00000,1,4,1,286,206,308,228,289,1419.00000,0.00000,1,0,131,0,131
132,7,333.00000,549.00000,1,4,1,322,538,343,559,271,2709.00000,0.00000,1,0,132,0,132
133,7,351.00000,572.00000,1,4,1,340,561,362,583,289,19221.00000,0.00000,1,0,133,0,133
134,7,357.00000,85.00000,1,4,1,346,74,368,96,289,3483.00000,0.00000,1,0,134,0,134
135,7,362.00000,603.00000,1,4,1,351,593,373,614,285,4128.00000,0.00000,1,0,135,0,135
136,7,406.00000,590.00000,1,4,1,395,579,417,601,289,19995.00000,0.00000,1,0,136,0,136
137,7,455.00000,519.00000,1,4,1,444,508,466,530,289,4773.00000,0.00000,1,0,137,0,137
138,7,541.00000,481.00000,1,4,1,530,470,552,492,289,6192.00000,0.00000,1,0,138,0,138
139,7,577.00000,304.00000,1,4,1,566,293,588,315,289,32895.00000,0.00000,1,0,139,0,139
140,7,632.00000,649.00000,1,4,1,621,638,643,660,289,25413.00000,0.00000,1,0,140,0,140
141,7,706.00000,691.00000,1,4,1,695,680,717,702,289,7611.00000,0.00000,1,0,141,0,141
142,7,766.00000,549.00000,1,4,1,755,538,777,560,289,8901.00000,0.00000,1,0,142,0,142
143,7,770.00000,657.00000,1,4,1,759,646,781,668,289,9675.00000,0.00000,1,0,143,0,143
144,7,772.00000,472.00000,1,4,1,761,461,783,483,289,8256.00000,0.00000,1,0,144,0,144
145,7,811.00000,816.00000,1,4,1,800,805,822,827,289,10320.00000,0.00000,1,0,145,0,145
146,7,839.00000,755.00000,1,4,1,828,744,850,766,289,10965.00000,0.00000,1,0,146,0,146
147,7,854.00000,537.00000,1,4,1,843,526,865,548,289,11739.00000,0.00000,1,0,147,0,147
148,7,881.00000,442.00000,1,4,1,870,431,892,453,289,12384.00000,0.00000,1,0,148,0,148
149,7,910.78667,882.20000,1,4,1,899,874,923,891,267,7575.00000,0.00000,1,0,149,0,149
150,8,241.00000,742.00000,2,4,1,234,735,248,749,129,0.00000,7137.00000,0,1,0,150,150
151,8,356.00000,218.50000,2,4,1,349,212,363,225,108,0.00000,174.00000,0,1,0,151,151
152,8,368.00000,183.00000,2,4,1,361,176,375,190,109,0.00000,72.00000,0,1,0,152,152
153,8,393.00000,648.00000,2,4,1,386,641,400,655,129,0.00000,3843.00000,0,1,0,153,153
154,8,521.00000,733.00000,2,4,1,514,726,528,740,129,0.00000,3721.00000,0,1,0,154,154
155,8,618.00000,450.00000,2,4,1,611,443,625,457,129,0.00000,3599.00000,0,1,0,155,155
156,8,666.00000,530.00000,2,4,1,659,523,673,537,129,0.00000,3538.00000,0,1,0,156,156
157,8,698.57143,864.57143,2,4,1,692,858,705,871,112,0.00000,364.00000,0,1,0,157,157
158,8,700.00000,575.00000,2,4,1,693,568,707,582,129,0.00000,3416.00000,0,1,0,158,158
159,8,735.00000,972.00000,2,4,1,728,965,742,979,129,0.00000,2501.00000,0,1,0,159,159
160,8,842.00000,897.00000,2,4,1,835,890,849,904,129,0.00000,2196.00000,0,1,0,160,160
161,8,868.00000,464.00000,2,4,1,861,457,875,471,129,0.00000,2074.00000,0,1,0,161,161
162,8,960.00000,908.00000,2,4,1,953,901,967,915,129,0.00000,1952.00000,0,1,0,162,162
163,8,1026.75000,671.62500,2,4,1,1019,665,1034,678,120,0.00000,200.00000,0,1,0,163,163
164,8,1157.00000,380.00000,2,4,1,1150,373,1164,386,117,0.00000,1098.00000,0,1,0,164,164
165,8,1171.96267,604.14933,2,4,1,1165,593,1178,614,176,0.00000,1387.76471,0,1,0,165,165
166,8,1183.00000,291.00000,2,4,1,1176,284,1190,298,129,0.00000,549.00000,0,1,0,166,166
167,8,1202.00000,424.00000,2,4,1,1195,417,1209,431,129,0.00000,122.00000,0,1,0,167,167
168,9,267.00000,315.00000,1,5,1,256,304,278,326,289,645.00000,0.00000,1,0,168,0,168
169,9,296.00000,217.00000,1,5,1,285,206,307,228,289,1419.00000,0.00000,1,0,169,0,169
170,9,332.00000,549.00000,1,5,1,321,538,342,559,274,2709.00000,0.00000,1,0,170,0,170
171,9,352.00000,571.00000,1,5,1,341,560,363,582,289,19221.00000,0.00000,1,0,171,0,171
172,9,358.00000,86.00000,1,5,1,347,75,369,97,289,3483.00000,0.00000,1,0,172,0,172
173,9,363.00000,606.00000,1,5,1,352,595,374,617,289,4128.00000,0.00000,1,0,173,0,173
174,9,455.00000,519.00000,1,5,1,444,508,466,530,289,4773.00000,0.00000,1,0,174,0,174
175,9,537.00000,480.00000,1,5,1,526,469,548,491,289,6192.00000,0.00000,1,0,175,0,175
176,9,631.00000,651.00000,1,5,1,620,640,642,662,289,25413.00000,0.00000,1,0,176,0,176
177,9,706.00000,691.00000,1,5,1,695,680,717,702,289,7611.00000,0.00000,1,0,177,0,177
178,9,768.00000,653.00000,1,5,1,757,642,779,664,289,9675.00000,0.00000,1,0,178,0,178
179,9,771.00000,473.00000,1,5,1,760,462,782,484,289,8256.00000,0.00000,1,0,179,0,179
180,9,811.00000,816.00000,1,5,1,800,805,822,827,289,10320.00000,0.00000,1,0,180,0,180
181,9,839.00000,756.00000,1,5,1,828,745,850,767,289,10965.00000,0.00000,1,0,181,0,181
182,9,853.00000,537.00000,1,5,1,842,526,864,548,289,11739.00000,0.00000,1,0,182,0,182
183,9,878.00000,444.00000,1,5,1,867,433,889,455,289,12384.00000,0.00000,1,0,183,0,183
184,9,910.20000,882.27143,1,5,1,899,873,922,892,259,7070.00000,0.00000,1,0,184,0,184
185,10,241.00000,743.00000,2,5,1,234,736,248,750,129,0.00000,7137.00000,0,1,0,185,185
186,10,393.00000,647.00000,2,5,1,386,640,400,654,129,0.00000,3843.00000,0,1,0,186,186
187,10,619.00000,450.00000,2,5,1,612,443,626,457,129,0.00000,3599.00000,0,1,0,187,187
188,10,666.00000,530.00000,2,5,1,659,523,673,537,129,0.00000,3538.00000,0,1,0,188,188
189,10,700.00000,863.50000,2,5,1,693,857,707,870,114,0.00000,104.00000,0,1,0,189,189
