LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,EXTRACK_P_STUCK,EXTRACK_P_DIFFUSIVE,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Probability stuck,Probability diffusive,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,P stuck,P diffusive,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,,,
ID2510,2510,64,162.344970703125,9.922716194219424,58.34305914196104,0.0,200.0,10,0.25,1,,2588.754098360656,2589.0,1425.0,3583.0,157914.0,454.9667260997484,,,0.15542603701064758,1.5308152607601209
ID2511,2511,30,182.485107421875,10.362330202824083,58.40586114319028,0.0,200.0,10,0.25,1,,2576.8196721311474,2679.0,1544.0,3362.0,157186.0,488.4895941640491,,,0.22030459781548173,1.904644906874388
ID2512,2512,31,269.2587890625,19.091808373688007,61.79716920956907,0.0,200.0,10,0.25,1,,7696.819672131148,7886.0,4868.0,9485.0,469506.0,1229.812783966144,,,0.0719120606447591,0.839740076446048
ID2513,2513,36,227.7666015625,19.719828385980374,61.85997121079831,0.0,200.0,10,0.25,1,,8616.393442622952,8822.0,6110.0,10808.0,525600.0,1259.166222528338,,,0.055593476010197755,0.720774783000776
ID2514,2514,32,331.0712890625,21.101472413023586,61.85997121079831,0.0,200.0,10,0.25,1,,9007.04918032787,9338.0,5290.0,11328.0,549430.0,1590.3295300684229,,,0.08148730137621728,0.8534811182962921
ID2515,2515,33,415.4951171875,20.599056403189692,61.92277321202754,0.0,200.0,10,0.25,1,,10795.327868852459,11120.0,7202.0,13838.0,658515.0,1630.7231291803387,,,0.0932302460137907,1.1290958033478111
ID2516,2516,34,242.85791015625,18.463788361395636,61.98557521325678,0.0,200.0,10,0.25,1,,6454.016393442623,6599.0,3558.0,8153.0,393695.0,1213.5030489153194,,,0.08021022767597596,0.7898427791937375
ID2517,2517,35,262.498046875,19.280214377375717,62.23678321817373,0.0,200.0,10,0.25,1,,9281.344262295082,8948.0,7561.0,11541.0,566162.0,1027.0778432888442,,,0.04942480112528555,0.8511990372477819
ID2518,2518,37,404.169921875,19.908234389668085,62.23678321817373,0.0,200.0,10,0.25,1,,10463.508196721312,10587.0,8444.0,12706.0,638274.0,1149.9777479434235,,,0.08607351330932407,1.4422089468142534
ID2519,2519,38,207.31982421875,21.666690424086717,62.299585219402964,0.0,200.0,10,0.25,1,,7651.803278688524,7793.0,4865.0,10271.0,466760.0,1463.5814841189194,,,0.04762455857209179,0.47533760961855837
ID2520,2520,41,601.05078125,21.22707641548206,62.55079322431992,0.0,200.0,10,0.25,1,,11590.04918032787,11316.0,8174.0,14732.0,706993.0,1790.1392071217022,,,0.1080218559724378,1.262384861402395
ID2521,2521,39,383.8076171875,18.652194365083346,62.613595225549155,0.0,200.0,10,0.25,1,,9571.0,9642.0,7755.0,11927.0,583831.0,994.2044055424418,,,0.10019397945254688,1.753412065247162
ID2522,2522,42,299.001953125,18.58939236385411,62.92760523169534,0.0,200.0,10,0.25,1,,8465.606557377048,8740.0,4847.0,11032.0,516402.0,1300.3536093269468,,,0.09402719790548833,1.119056421991425
ID2523,2523,40,184.072265625,20.473452400731215,63.11601123538305,0.0,200.0,10,0.25,1,,9060.180327868853,9110.0,6431.0,10477.0,552671.0,841.5420272372362,,,0.045834953773807446,0.9436798297132318
ID2524,2524,43,247.287109375,21.164274414252823,63.178813236612285,0.0,200.0,10,0.25,1,,8408.83606557377,8432.0,5461.0,11678.0,512939.0,1344.5364651101615,,,0.062417920638483095,0.7348643940153202
ID2525,2525,44,270.1865234375,18.966204371229534,63.30441723907076,0.0,200.0,10,0.25,1,,7398.44262295082,7721.0,4304.0,9780.0,451305.0,1312.9176100653358,,,0.08355232225889883,0.8690434090691442
ID2526,2526,45,306.09423828125,19.5942243835219,63.61842724521694,0.0,200.0,10,0.25,1,,7233.098360655737,7534.0,4181.0,8959.0,441219.0,1211.3200472338438,,,0.09502829206332351,1.0363895981794315
ID2527,2527,60,323.24853515625,20.033838392126558,63.61842724521694,0.0,200.0,10,0.25,1,,7584.245901639344,7508.0,4697.0,10326.0,462639.0,1303.973563839105,,,0.08225877432871934,0.8841475199497909
ID2528,2528,46,105.87744140625,37.806804740000594,75.86481748491813,0.0,200.0,10,0.25,1,,3254.7377049180327,3300.0,1807.0,4670.0,198539.0,640.9513216472147,,,0.08314749323905869,0.7796191618835577
ID2529,2529,67,128.40380859375,37.4927947338544,75.92761948614736,0.0,200.0,10,0.25,1,,3951.032786885246,3889.0,3019.0,5192.0,241013.0,557.5881086493002,,,0.06816592650633684,0.9043899919039223
ID2633,2633,0,302.671875,23.04833445112993,9.42030018438553,0.0,220.0,11,0.25,1,,2481.3606557377047,2194.0,1395.0,4856.0,151363.0,827.8433030629826,,,0.31441949410721654,1.4339936253416208
ID2634,2634,1,115.31005859375,14.00484627411982,10.80194421142874,0.0,220.0,11,0.25,1,,5111.147540983607,5152.0,3912.0,6484.0,311780.0,595.1676188566705,,,0.042428353838153944,0.6990674568454246
ID2635,2635,2,144.921875,14.507262283953715,10.80194421142874,0.0,220.0,11,0.25,1,,5769.0,5708.0,4481.0,7346.0,351909.0,602.3407673402158,,,0.05735812510088359,1.0391090246747414
ID2636,2636,3,111.754638671875,12.748806249535082,11.115954217574924,0.0,220.0,11,0.25,1,,3394.8032786885246,3410.0,2152.0,4586.0,207083.0,561.0519530213498,,,0.06355627605918905,0.7231684956899226
ID2637,2637,4,107.438720703125,12.623202247076609,11.492766224950346,0.0,220.0,11,0.25,1,,2950.7704918032787,3044.0,1443.0,4486.0,179997.0,651.338836383507,,,0.08686315293414368,0.724134396865492
ID2638,2638,61,365.2701416015625,50.80681899445262,19.845432388438848,0.0,220.0,11,0.25,1,,2048.901639344262,1857.0,849.0,4709.0,124983.0,922.1560371382931,,,0.5802509011079892,1.6316855545057358
